movie_ID,genre_1,genre_2,genre_3
tt0972544,Crime,Drama,Thriller
tt0972815,Documentary,,
tt0972816,Documentary,,
tt0972848,Comedy,,
tt0973809,Action,Thriller,
tt0974015,Action,Adventure,Fantasy
tt0974584,Drama,,
tt0975645,Biography,Comedy,Drama
tt0975738,Action,Biography,Crime
tt0977639,Action,,
tt0977643,Drama,Musical,Romance
tt0977855,Biography,Drama,Thriller
tt0978764,Action,Adventure,Fantasy
tt0978812,Documentary,,
tt0979434,Comedy,,
tt0980970,Adventure,Family,Fantasy
tt0980999,Drama,Romance,
tt0981013,Horror,Thriller,
tt0981286,Drama,Music,
tt0983190,Drama,Thriller,
tt0983193,Action,Adventure,Animation
tt0983250,Horror,Thriller,
tt0983946,Adventure,Comedy,Fantasy
tt0984084,Crime,,
tt0984113,Drama,,
tt0984210,Drama,,
tt0985694,Action,Crime,Thriller
tt0986361,Adventure,Animation,Comedy
tt0988655,Drama,Horror,Romance
tt0988858,Horror,,
tt0989757,Drama,Romance,War
tt0990363,Horror,Thriller,
tt0990407,Action,Comedy,Crime
tt0991173,Comedy,Romance,
tt0993842,Action,Drama,Thriller
tt0993846,Biography,Crime,Drama
tt0994917,Action,Adventure,Comedy
tt0995845,Action,Crime,Drama
tt0995867,Drama,,
tt0995868,Biography,Drama,Sport
tt0996664,Comedy,,
tt0996958,Action,Adventure,Fantasy
tt0996976,Animation,,
tt0997035,Drama,,
tt0997152,Drama,Thriller,
tt0997179,Documentary,Music,
tt0997232,Action,,
tt0999913,Action,Drama,Thriller
tt10001116,Drama,,
tt10001870,Documentary,,
tt10003008,Horror,,
tt10003350,Documentary,Music,
tt10003792,Drama,,
tt10003806,Comedy,,
tt10003978,Documentary,,
tt10003990,Drama,,
tt10004074,Drama,,
tt10004118,Documentary,,
tt10004372,Documentary,,
tt10004396,Thriller,,
tt10004574,Drama,Thriller,
tt10004944,Action,Adventure,Horror
tt10005130,Documentary,,
tt10005184,Adventure,,
tt10005378,Documentary,,
tt10005524,Documentary,,
tt10005622,Action,,
tt10005688,Family,,
tt10005864,Drama,,
tt10006026,Drama,Thriller,
tt10006056,Drama,,
tt10006122,Documentary,,
tt10006156,Drama,,
tt10006160,Drama,,
tt10006270,Comedy,,
tt10006274,Documentary,,
tt10006276,Drama,,
tt10006510,Romance,,
tt10006546,Biography,Documentary,
tt10006874,Documentary,,
tt10007268,Drama,,
tt10007352,Comedy,,
tt10007824,Drama,,
tt10007978,Documentary,,
tt10008304,Documentary,,
tt10008602,Documentary,,
tt10008784,Drama,,
tt10008996,Documentary,,
tt10009030,Comedy,Horror,Sci-Fi
tt10009098,Documentary,Sport,
tt10009342,Comedy,Romance,
tt10009434,Comedy,Drama,
tt10009598,Documentary,,
tt10009602,Documentary,,
tt10009878,Drama,,
tt10009960,Documentary,,
tt10009978,Documentary,,
tt10010134,Documentary,,
tt10010654,Drama,,
tt10010748,Documentary,,
tt10010814,Drama,,
tt10010820,Action,Thriller,
tt10011102,Action,Biography,Drama
tt10011146,Crime,Drama,
tt10011206,Comedy,,
tt10011226,Documentary,,
tt10011232,Documentary,,
tt10011244,Comedy,Fantasy,Horror
tt10011252,Documentary,,
tt10011264,Documentary,,
tt10011270,Documentary,,
tt10011284,Documentary,,
tt10011296,Documentary,,
tt10011312,Documentary,Music,
tt10011320,Documentary,,
tt10011324,Documentary,,
tt10011336,Drama,,
tt10011342,Documentary,,
tt10011362,Drama,,
tt10011412,Documentary,,
tt10011448,Documentary,,
tt10011480,Documentary,,
tt10011500,Documentary,,
tt10011508,Documentary,,
tt10011534,Drama,,
tt10011682,Documentary,,
tt10011772,Documentary,,
tt10011852,Drama,,
tt10012786,Documentary,,
tt10012842,Documentary,,
tt10012854,Sport,,
tt10013288,Drama,,
tt10013634,Musical,,
tt10014042,Comedy,Drama,
tt10014100,Documentary,,
tt10014132,Family,,
tt10014616,Crime,Thriller,Western
tt10014682,Documentary,,
tt10014718,Documentary,,
tt10015222,Documentary,,
tt10015234,Documentary,,
tt10015248,Drama,Romance,
tt1001526,Action,Animation,Comedy
tt10015418,Mystery,,
tt10015432,Action,Comedy,Horror
tt10015812,Horror,,
tt10016152,Documentary,,
tt10016254,Drama,,
tt10016388,Documentary,,
tt10016428,Documentary,,
tt10016436,Documentary,,
tt10016444,Documentary,,
tt10016502,Comedy,Fantasy,
tt10016532,Drama,Romance,
tt10016546,History,,
tt10016590,Documentary,,
tt10016638,Documentary,,
tt10016642,Family,,
tt10016956,Romance,,
tt10017088,Comedy,,
tt10017274,Drama,,
tt10017454,Drama,,
tt10017460,Drama,,
tt10017502,Drama,Sci-Fi,
tt10017510,Documentary,,
tt10017546,Drama,,
tt10017566,Comedy,,
tt10017680,Action,Crime,
tt10017708,Documentary,History,
tt10017722,Biography,Documentary,
tt10017956,Drama,,
tt10018116,Action,,
tt10018324,Documentary,,
tt10018386,Documentary,,
tt10019108,Drama,,
tt10019878,Documentary,,
tt10020682,Comedy,,
tt10021464,Comedy,,
tt10021478,Comedy,,
tt10021622,Documentary,,
tt10021804,Documentary,,
tt10022010,Documentary,,
tt10022058,Documentary,,
tt10022158,Documentary,,
tt10022384,Romance,,
tt10022684,Drama,,
tt10022800,Documentary,,
tt10022824,Documentary,,
tt10022858,Drama,,
tt10022864,Comedy,,
tt10022870,Action,,
tt10022952,Documentary,,
tt10022974,Action,Thriller,
tt10023080,Drama,,
tt10023150,Comedy,,
tt10023154,Documentary,,
tt10023304,Biography,Documentary,
