movie_ID,production_budget,gross_income,net_income,cost_income_ratio
tt2719848,65000000,221297061,156297061,0.2937228343940817
tt5001718,10000000,61603136,51603136,0.16232939829556728
tt1288558,17000000,97778356,80778356,0.17386260820339422
tt1945044,25000,489792,464792,0.05104207500326669
tt1528100,140000000,268314513,128314513,0.5217757266823655
tt1244659,31000000,15826984,-15173016,1.9586801882152658
tt8632862,5000000,6653715,1653715,0.7514598987182348
tt2295722,4500000,11774,-4488226,382.19806352981146
tt3183660,180000000,802402853,622402853,0.22432622133261532
tt4123430,200000000,652220086,452220086,0.3066449566534815
tt1502712,120000000,167849187,47849187,0.7149275021510828
tt1596343,125000000,630163454,505163454,0.1983612334332546
tt1433108,24000000,35792945,11792945,0.6705231994740863
tt1966359,25000000,21038441,-3961559,1.1883009772444642
tt2671706,24000000,64282881,40282881,0.37334978810299435
tt3411444,111000000,289847930,178847930,0.3829594366949593
tt4465564,55000000,381398492,326398492,0.1442061286388096
tt4477536,55000000,371350619,316350619,0.148108006789131
tt4667094,5000000,22113075,17113075,0.22611057032999707
tt2322441,40000000,570998101,530998101,0.07005277238216244
tt1622979,40000000,155011165,115011165,0.2580459284981182
tt2277860,200000000,1021215193,821215193,0.19584510823077816
tt1213641,60000000,105203825,45203825,0.5703214688249215
tt3401882,25000000,40286416,15286416,0.6205565667593762
tt6472976,7000000,80504421,73504421,0.08695174641402613
tt2039338,20000000,45173738,25173738,0.4427351130428923
tt1907668,31000000,160558438,129558438,0.19307611849088865
tt0817177,14000000,4289993,-9710007,3.263408588312382
tt4136084,29000000,56000339,27000339,0.517854007990916
tt2381941,65000000,168065700,103065700,0.38675351365567157
tt2141739,913000,176,-912824,5187.5
tt0249516,45000000,73706,-44926294,610.533742164817
tt1068242,24000000,62989834,38989834,0.3810138632846691
tt1405500,21000000,38017873,17017873,0.5523717752437124
tt1566501,12000000,10026255,-1973745,1.1968576502392967
tt4103724,3500000,16376066,12876066,0.21372654458036502
tt1341167,3750000,2436111,-1313889,1.5393387247132828
tt1142977,39000000,81150788,42150788,0.48058683053083845
tt1152822,2900000,172867,-2727133,16.775902861737638
tt1817771,33000000,70958,-32929042,465.0638405817526
tt1621039,55000000,110387072,55387072,0.4982467512137653
tt1124037,50000000,23237252,-26762748,2.151717423385519
tt1658801,7000000,1732228,-5267772,4.041038477613801
tt1632708,35000000,146595891,111595891,0.23875157592241109
tt1438176,30000000,40520649,10520649,0.7403632651589563
tt2510028,2300000,59696,-2240304,38.5285446261056
tt2294629,150000000,1272469910,1122469910,0.11788097999111036
tt2334649,900000,17549645,16649645,0.05128308863227718
tt1663143,14000000,11166615,-2833385,1.2537371441569356
tt2820852,190000000,1518722794,1328722794,0.12510512171847998
tt0492389,35000000,39340177,4340177,0.8896757124402364
tt2713180,80000000,210315681,130315681,0.3803805765676597
tt1583421,140000000,375740705,235740705,0.37259737403217996
tt2704998,37000000,117378084,80378084,0.31522068463819874
tt1321870,60000000,104100903,44100903,0.576363876497786
tt1703957,17000000,7265283,-9734717,2.339895087362736
tt1981128,100000000,220796009,120796009,0.452906737095959
tt2561572,40000000,106511453,66511453,0.37554646822816323
tt1226229,40000000,91455875,51455875,0.43736938714981405
tt5052448,5000000,255367951,250367951,0.0195795908625981
tt2473602,30000000,33339868,3339868,0.899823598581734
tt2167202,18000000,11813989,-6186011,1.5236174673939513
tt1219827,110000000,167910690,57910690,0.6551101660055116
tt1289401,144000000,229008658,85008658,0.6287971872225023
tt4481414,7000000,36964656,29964656,0.18937008368209893
tt3564472,28000000,140886353,112886353,0.19874174754172252
tt6823368,20000000,245303505,225303505,0.08153165198352955
tt1922612,9000000,17462398,8462398,0.5153931321459974
tt2404233,140000000,138836756,-1163244,1.0083785017275972
tt0831387,160000000,529076069,369076069,0.3024139804743276
tt3741700,170000000,299276941,129276941,0.5680357445246675
tt2568862,24000000,78672579,54672579,0.305061818298851
tt1322312,32000000,43603990,11603990,0.7338777942110344
tt2267998,61000000,368567189,307567189,0.1655057797345059
tt1051904,58000000,158905324,100905324,0.3649972105402837
tt5664636,35000000,93291478,58291478,0.3751682441991111
tt1801552,10000000,6089100,-3910900,1.642278826099095
tt2349460,1700000,2507159,807159,0.678058312217135
tt1703199,2000000,2151887,151887,0.9294168327611998
tt1454468,110000000,693698673,583698673,0.15857029036006243
tt2950418,9000000,2000093,-6999907,4.499790759729673
tt6966692,23000000,322034439,299034439,0.07142093271583291
tt1133985,200000000,219535492,19535492,0.9110144249477438
tt0947810,100000000,97523020,-2476980,1.0253989263252923
tt1375670,75000000,272223430,197223430,0.275508981721375
tt2191701,80000000,247023808,167023808,0.32385542368450576
tt1661382,40000000,69807260,29807260,0.57300630335584
tt2015381,170000000,770867516,600867516,0.22053076108605932
tt1320261,112000000,232017848,120017848,0.4827214844264912
tt1376195,9900000,458054,-9441946,21.61317224606706
tt2119532,40000000,168904682,128904682,0.23681995979247042
tt0475290,22000000,64160680,42160680,0.3428891339680315
tt0480687,68000000,87173475,19173475,0.780053795033409
tt1502407,10000000,254900667,244900667,0.03923096835207575
tt1781827,20000000,5031975,-14968025,3.9745825446271095
tt0993842,30000000,65343694,35343694,0.459110866918543
tt1428538,50000000,214949716,164949716,0.232612542739996
tt2955096,70000,30312,-39688,2.309316442333069
tt5308322,5000000,125010260,120010260,0.039996717069462936
