movie_ID,average_rating
tt7313218,6.7
tt7315526,4.9
tt7315648,6.0
tt7316206,5.9
tt7323332,6.0
tt7341988,4.8
tt7342204,7.4
tt7345928,6.5
tt7361790,4.9
tt7363356,7.2
tt7370188,6.9
tt7374968,6.8
tt7375556,5.4
tt7382572,6.4
tt7385518,7.4
tt7385580,8.5
tt7388694,6.5
tt7390044,6.4
tt7390380,7.0
tt7399124,7.1
tt7403574,5.1
tt7407950,6.9
tt7411202,8.8
tt7412738,6.3
tt7416102,5.2
tt7419468,6.3
tt7424410,4.2
tt7429318,7.1
tt7429708,6.2
tt7433980,6.8
tt7436642,7.7
tt7451284,5.6
tt7457108,5.1
tt7460834,7.9
tt7467324,6.6
tt7469978,5.2
tt7475708,7.2
tt7520478,3.6
tt7521000,6.4
tt7521846,4.3
tt7526316,6.9
tt7526492,8.2
tt7533152,7.6
tt7533756,7.0
tt7542576,5.8
tt7542928,7.4
tt7553526,8.3
tt7558166,5.6
tt7572744,7.3
tt7575400,2.7
tt7603154,8.3
tt7604636,5.9
tt7606796,7.8
tt7610008,8.0
tt7620732,3.6
tt7628458,7.2
tt7631320,3.6
tt7674116,8.9
tt7675596,6.7
tt7686386,5.0
tt7689964,7.5
tt7690670,5.0
tt7693236,7.9
tt7708146,5.4
tt7730492,5.8
tt7748852,8.3
tt7752880,6.1
tt7762194,1.0
tt7770192,5.7
tt7770232,7.7
tt7783776,6.2
tt7791218,6.4
tt7794400,8.3
tt7802246,8.2
tt7809214,4.3
tt7817234,3.1
tt7820502,5.8
tt7822320,7.2
tt7848100,7.6
tt7858220,7.2
tt7868256,8.8
tt7882250,6.2
tt7921282,7.1
tt7928214,6.3
tt7948406,9.1
tt7955106,8.0
tt7958740,7.5
tt7963218,1.7
tt7971756,7.2
tt7976486,7.0
tt7976502,4.4
tt7977310,6.6
tt7984730,8.8
tt8001954,6.8
tt8026954,7.5
tt8041618,8.1
tt8058904,5.9
tt8064342,5.5
tt8076344,7.3
tt8096198,8.7
tt8103460,3.1
tt8108198,8.5
tt8108208,6.2
tt8108212,7.1
tt8128672,5.5
tt8142462,6.6
tt8144954,7.3
tt8171974,6.2
tt8196200,7.9
tt8209632,5.5
tt8220332,3.8
tt8236398,6.3
tt8260954,5.9
tt8269378,6.7
tt8294696,9.2
tt8322828,6.0
tt8346446,6.9
tt8356200,6.9
tt8359842,7.7
tt8383694,6.1
tt8387376,5.1
tt8396232,6.6
tt8396486,7.5
tt8401098,7.8
tt8420672,2.4
tt8423080,8.1
tt8426644,7.9
tt8430866,8.1
tt8475490,8.5
tt8503170,6.6
tt8503240,7.6
tt8510324,5.6
tt8526530,2.3
tt8550652,6.7
